id,source,data_type,url,date,date_basis,year,reviewer_type,headline,excerpt,excerpt_attribution,text_basis,platform_rating,classification,score,pos_themes,neg_themes,contentment_points,contentment_contribution,included,role_match,rationale,note,collected_on
GD-99399889,Glassdoor,Individual review,https://www.glassdoor.co.uk/Reviews/Employee-Review-Mercor-E9031572-RVW99399889.htm,,,,,IF IT SOUNDS TOO GOOD TO BE TRUE…,,none,Headline only,,Negative,-0.7,,Trust & legitimacy,0,0.0,True,False,Warning-style headline implying the offer is not as presented.,,2026-09-24
GD-99536479,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW99536479.htm,,,,,"Poor comms, delayed timelines, very amateurish","""Chaotic - Poorly run - Poor comms."" Work trial quoted at 6 hours took 10-12 with no extra pay; Slack questions unanswered; submissions stuck in review 16+ hours; describes leadership as ""a bunch of 21 year olds trying to play grown ups"".",specific,Headline + search excerpt,,Negative,-0.9,,Communication; Organization & process; Compensation; Leadership,0,0.0,True,False,Strongly negative; excerpt specific.,,2026-09-24
GD-99925928,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW99925928.htm,,,,,realtively good,,none,Headline only,,Positive,0.4,Overall satisfaction,,100,1.852,True,False,Qualified but positive.,,2026-09-24
GD-99977356,Glassdoor,Individual review,https://www.glassdoor.co.uk/Reviews/Employee-Review-Mercor-E9031572-RVW99977356.htm,,,,,"Work is fine, when it is there",,none,Headline only,,Mixed/Neutral,0.0,Overall satisfaction,Job security,50,0.926,True,False,Balances acceptable work against unreliable availability.,,2026-09-24
GD-100282453,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW100282453.htm,,,,,"Poor communication, unethical requests",,none,Headline only,,Negative,-0.85,,Communication; Leadership,0,0.0,True,False,Strongly negative; alleges unethical requests.,,2026-09-24
GD-100329014,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW100329014.htm,,,,,Good company so far,,none,Headline only,,Positive,0.5,Overall satisfaction,,100,1.852,True,False,"Positive, tentative.",,2026-09-24
GD-100657420,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW100657420.htm,,,,,I LOVE working for Mercor!,"Learned more in three weeks than in two years at a previous job; pace fast, dynamic and fun; project and team leads patient, helpful and kind.",specific,Headline + search excerpt,,Positive,0.95,Learning opportunities; Management; Culture,,100,1.852,True,False,Strongly positive; excerpt specific.,,2026-09-24
GD-100795889,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW100795889.htm,2025-11-13,Search-index summary,2025,,Stay away if you can,"Management threatens new workers with termination; cycle of hiring and firing; heavy workload without fair pay; payment withheld after a vague ""policy violation"" with no appeal; minimal support communication.",specific,Headline + search excerpt,,Negative,-0.95,,Management; Job security; Workload; Compensation; Communication,0,0.0,True,False,Strongly negative; excerpt specific.,,2026-09-24
GD-100821156,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW100821156.htm,,,,,Good experience,,none,Headline only,,Positive,0.6,Overall satisfaction,,100,1.852,True,False,Positive overall.,,2026-09-24
GD-101257023,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW101257023.htm,,,,,"Started ok, ultimately the company will offer you lower and lower contracts until you stop working.","Offered 7 projects, 5 never started (unpaid onboarding or vanished); after 4 months with an excellent QA score the project was cancelled and replaced by a much lower-paying copy.",specific,Headline + search excerpt,,Negative,-0.7,,Compensation; Job security; Organization & process,0,0.0,True,False,Negative overall despite an 'ok' start; excerpt specific.,"A search summary gave 2025-11-13, the same date as RVW100795889; treated as unverified and left blank.",2026-09-24
GD-101269595,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW101269595.htm,,,,,Good company,,none,Headline only,,Positive,0.6,Overall satisfaction,,100,1.852,True,False,Positive overall.,,2026-09-24
GD-102136443,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW102136443.htm,,,,"AI Model Trainer (per search summary, unverified)",What a great and easy way to make some money,,none,Headline only,,Positive,0.8,Compensation; Overall satisfaction,,100,1.852,True,False,Strongly positive about earning opportunity.,,2026-09-24
GD-102421292,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW102421292.htm,,,,Operations,So many red flags,,none,Headline only,,Negative,-0.8,,Overall satisfaction,0,0.0,True,False,Strongly negative warning.,,2026-09-24
GD-102492938,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW102492938.htm,,,,,Terrible work culture,,conflicting,Headline only,,Negative,-0.85,,Culture,0,0.0,True,False,"Headline strongly negative. The body excerpt returned was the same positive text returned for RVW95912929, so it was not used.",,2026-09-24
GD-103274438,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW103274438.htm,,,,,Great,,none,Headline only,,Positive,0.7,Overall satisfaction,,100,1.852,True,False,"Positive, brief.",,2026-09-24
IN-b61012dc,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/good-pay?id=b61012dc1a6cfb7b,2025-08-08,Search-index summary,2025,,good pay,Hourly rates for most projects are competitive; tons of flexibility with hours; remote.,specific,Headline + search excerpt,,Positive,0.6,Compensation; Work-life balance; Remote work,,100,1.852,True,False,"Positive headline; excerpt praises rates, flexibility and remote work.",,2026-09-24
IN-a28c130e,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/overall-a-great-experience?id=a28c130e684998f9,2025-12-24,Search-index summary,2025,AI Trainer,Overall a great experience,"Thought-provoking tasks, clear instructions and expectations, project managers open to feedback.",specific,Headline + search excerpt,,Positive,0.8,Overall satisfaction; Management; Learning opportunities,,100,1.852,True,False,Strongly positive; excerpt specific.,,2026-09-24
IN-518b0143,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/working-at-mercor-is-likely-to-be-highly-detrimental-to-your-mental-health-due-to-the-serious-technology-issues-wage-theft-and-communication-issues?id=518b0143e30d119c,,,,Independent Contractor,"Working at Mercor is likely to be highly detrimental to your mental health due to the serious technology issues, wage theft, and communication issues.",,none,Headline only,,Negative,-0.95,,Tools & platform; Compensation; Communication; Work-life balance,0,0.0,True,False,"Severe complaints about technology, pay and communication.",,2026-09-24
IN-c4c639c9,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/good-opportunities-especially-for-part-time?id=c4c639c94809d5f6,,,,Computer Specialist,"Good opportunities, especially for part time.",,none,Headline only,,Positive,0.5,Overall satisfaction; Work-life balance,,100,1.852,True,True,Positive with a scope qualifier (part time).,,2026-09-24
IN-b4631d35,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/good-pay-and-flexible-work?id=b4631d35f5579eb0,,,,AI Trainer,Good pay and flexible work,,none,Headline only,,Positive,0.65,Compensation; Work-life balance,,100,1.852,True,False,Positive on pay and flexibility.,,2026-09-24
IN-4afae4c3,Indeed,Individual review,https://www.indeed.com/cmp/Mercor/reviews/mercor-is-solid?id=4afae4c3cd35828e,,,,Audio Trainer,Mercor is solid.,,none,Headline only,,Positive,0.5,Overall satisfaction,,100,1.852,True,False,"Positive, measured.",,2026-09-24
BL-qxbg1go7,Blind,Discussion thread,https://www.teamblind.com/post/mercor-interview-made-me-miss-my-toxic-job-qxbg1go7,,,,Candidate (interview experience),Mercor interview made me miss my toxic job,,none,Headline only,,Negative,-0.7,,Culture; Workload,0,0.0,True,False,Negative comparison with a 'toxic' previous job.,,2026-09-24
BL-g0fkaxzk,Blind,Discussion thread,https://www.teamblind.com/post/mercor-996-work-expectation-g0fkaxzk,,,,Candidate (recruiter outreach),Mercor 996 work expectation,"Recruiter described a 996 culture: SF office Mon-Fri 9-9, plus Saturday remote.",specific,Headline + search excerpt,,Mixed/Neutral,-0.3,,Workload; Work-life balance,50,0.926,True,False,"Describes a recruiter's 996 expectation (9am-9pm, six days). Mostly factual; implied concern. Scores inside the mixed/neutral band.",,2026-09-24
BL-3glbw3aa,Blind,Discussion thread,https://www.teamblind.com/post/thoughts-on-mercor-3glbw3aa,2026-07-15,Search-index summary,2026,Anonymous Blind user,Thoughts on Mercor,,none,Headline only,,Insufficient text,,,,,,False,False,Headline is a question; no attributable body text.,,2026-09-24
BL-h3j5gitm,Blind,Discussion thread,https://www.teamblind.com/post/what-does-it-look-like-to-work-at-mercor-as-an-fte-h3j5gitm,,,,Anonymous Blind user,What does it look like to work at Mercor as an FTE?,,none,Headline only,,Insufficient text,,,,,,False,False,"Question, no evaluative content.",,2026-09-24
BL-btp027n1,Blind,Discussion thread,https://www.teamblind.com/post/just-had-a-interview-with-mercor-btp027n1,,,,Candidate,Just had a interview with Mercor - Software Engineer,,none,Headline only,,Insufficient text,,,,,,False,False,"Descriptive headline, no evaluative content.",,2026-09-24
GD-105713599,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW105713599.htm,2026-09-23,Glassdoor saved page,2026,"Ai domain expert, Current employee, more than 1 year",Highest quality AI company: Meaningful projects; high-caliber clients; adequate compensation & growth opportunity,"Pros: High-caliber clients, high-caliber projects. You choose your hours and extent of involvement. The projects are meaningful. They pay is on par with your expertise. This is not a waste of time as the majority of AI companies are. Mercor will grow. So will your growth opportunities, if you would like them to.
Cons: I have advice for management only. I have no significant cons that warrant mention to prospective clients.",verbatim,Full review text (Glassdoor page),5.0,Positive,0.9,Compensation; Work-life balance; Career growth; Overall satisfaction,,100,1.852,True,True,"Strong praise for clients, projects, flexibility and pay; states no significant cons.","Text shown truncated on the saved page (""Show more"").",2026-09-24
GD-105693470,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW105693470.htm,2026-09-22,Glassdoor saved page,2026,"General specialist, Former employee",Flexible remote work with training and community support,"Pros: Flexibility, training, remote, opportunities, community
Cons: Inconsistent workload, specialist high paying roles more difficult to find",verbatim,Full review text (Glassdoor page),4.0,Positive,0.45,Work-life balance; Remote work; Learning opportunities; Coworker relationships,Job security; Career growth,100,1.852,True,True,"Positive on flexibility, training and community; cons are inconsistent workload and scarce high-paying specialist roles. Net positive.",,2026-09-24
GD-105637613,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW105637613.htm,2026-09-18,Glassdoor saved page,2026,"Generalist, Former employee, less than 1 year","Good hourly wages, but job security and feedback is lacking","Pros: Good hourly wages in comparison to other remote positions
Cons: There is no job security. You may be removed from a project without notice.",verbatim,Full review text (Glassdoor page),3.0,Mixed/Neutral,0.0,Compensation,Job security; Communication,50,0.926,True,True,Title and body balance good wages against no job security and lacking feedback. Mixed despite a 3-star rating sitting mid-scale.,"Text shown truncated on the saved page (""Show more"").",2026-09-24
GD-105636131,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW105636131.htm,2026-09-17,Glassdoor saved page,2026,"Anonymous employee, Current employee",Nice work-life balance but stressful environment,"Pros: Nice wlb and high salary
Cons: rude stressful not so welcome",verbatim,Full review text (Glassdoor page),4.0,Mixed/Neutral,-0.05,Work-life balance; Compensation,Culture,50,0.926,True,False,"Good work-life balance and pay against a 'rude, stressful, not so welcome' environment. Written text is mixed although the rating is 4 stars.",,2026-09-24
GD-105621060,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW105621060.htm,2026-09-17,Glassdoor saved page,2026,"Generalist expert- english, Current employee, less than 1 year",Interesting projects with competitive pay,"Pros: Very interesting project
Flexible work
Competitive pay
Cons: Some tasks could have clearer instructions
Work availability may vary between projects",verbatim,Full review text (Glassdoor page),5.0,Positive,0.6,Overall satisfaction; Work-life balance; Compensation,Organization & process; Job security,100,1.852,True,True,"Interesting projects, flexibility and competitive pay; minor cons on instructions and availability.","Text shown truncated on the saved page (""Show more"").",2026-09-24
